"filename", "language", "XML", "C#", "Markdown", "HTTP", "JSON", "comment", "blank", "total"
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/README.md", "Markdown", 0, 0, 29, 0, 0, 0, 14, 43
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/SonarLint.xml", "XML", 184, 0, 0, 0, 0, 0, 0, 184
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/Controllers/ApiControllerBase.cs", "C#", 0, 9, 0, 0, 0, 0, 5, 14
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/Controllers/ChatbotController.cs", "C#", 0, 32, 0, 0, 0, 18, 7, 57
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/DependencyInjection.cs", "C#", 0, 49, 0, 0, 0, 0, 8, 57
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/MagellanGPT.API.csproj", "XML", 36, 0, 0, 0, 0, 0, 4, 40
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/MagellanGPT.API.http", "HTTP", 0, 0, 0, 3, 0, 1, 4, 8
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/Program.cs", "C#", 0, 24, 0, 0, 0, 10, 14, 48
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/Properties/launchSettings.json", "JSON", 0, 0, 0, 0, 41, 0, 0, 41
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/Services/CurrentUserService.cs", "C#", 0, 28, 0, 0, 0, 7, 11, 46
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/appsettings.Development.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 17
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.API/appsettings.json", "JSON", 0, 0, 0, 0, 9, 0, 2, 11
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/ChatbotUseCases/Commands/CreateAICompletion/CreateAICompletionHandler.cs", "C#", 0, 21, 0, 0, 0, 0, 8, 29
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/ChatbotUseCases/Commands/CreateAICompletion/CreateAICompletionValidator.cs", "C#", 0, 10, 0, 0, 0, 0, 4, 14
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/ChatbotUseCases/Queries/GetDataFromCosmosDbHandler.cs", "C#", 0, 42, 0, 0, 0, 1, 13, 56
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Behaviours/AuthorizationBehaviour.cs", "C#", 0, 18, 0, 0, 0, 1, 7, 26
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Behaviours/LoggingBehaviour.cs", "C#", 0, 18, 0, 0, 0, 0, 7, 25
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Behaviours/PerformanceBehaviour.cs", "C#", 0, 35, 0, 0, 0, 7, 14, 56
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Behaviours/UnhandledExceptionBehaviour.cs", "C#", 0, 24, 0, 0, 0, 0, 8, 32
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Behaviours/ValidationBehaviour.cs", "C#", 0, 29, 0, 0, 0, 0, 9, 38
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Exceptions/ForbiddenAccessException.cs", "C#", 0, 5, 0, 0, 0, 0, 1, 6
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Exceptions/NotFoundException.cs", "C#", 0, 20, 0, 0, 0, 0, 6, 26
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Exceptions/ValidationException.cs", "C#", 0, 18, 0, 0, 0, 0, 6, 24
"/Users/twentycent/Desktop/Diiage/DIIAGE-3/P3/MagellanGPT/src/MagellanGPT.Application/Common/Interfaces/IApplicationDbContext.cs", "C#", 0, 13, 0, 0, 0, 0, 3, 16
